GO:0060321,acceptance of pollen
GO:0002832,negative regulation of response to biotic stimulus
GO:0071216,cellular response to biotic stimulus
GO:0009595,detection of biotic stimulus
GO:0043207,response to external biotic stimulus
GO:0002833,positive regulation of response to biotic stimulus
GO:1901419,regulation of response to alcohol
GO:0048585,negative regulation of response to stimulus
GO:0032101,regulation of response to external stimulus
GO:2000028,"regulation of photoperiodism, flowering"
GO:0002831,regulation of response to biotic stimulus
GO:2000468,regulation of peroxidase activity
GO:0009966,regulation of signal transduction
GO:2000030,regulation of response to red or far red light
GO:0048584,positive regulation of response to stimulus
GO:2001023,regulation of response to drug
GO:2000683,regulation of cellular response to X-ray
GO:0050776,regulation of immune response
GO:0080134,regulation of response to stress
GO:0009582,detection of abiotic stimulus
GO:0009629,response to gravity
GO:0009266,response to temperature stimulus
GO:0009314,response to radiation
GO:0070482,response to oxygen levels
GO:0006970,response to osmotic stress
GO:0009415,response to water
GO:0009612,response to mechanical stimulus
GO:0009268,response to pH
GO:0080167,response to karrikin
GO:0071214,cellular response to abiotic stimulus
GO:0050778,positive regulation of immune response
GO:0050776,regulation of immune response
GO:0050777,negative regulation of immune response
GO:0045087,innate immune response
GO:0009581,detection of external stimulus
GO:0032103,positive regulation of response to external stimulus
GO:0043476,pigment accumulation
GO:0032101,regulation of response to external stimulus
GO:0032102,negative regulation of response to external stimulus
GO:0009612,response to mechanical stimulus
GO:0071496,cellular response to external stimulus
GO:0009649,entrainment of circadian clock
GO:0009606,tropism
GO:0043207,response to external biotic stimulus
GO:0009991,response to extracellular stimulus
GO:0042330,taxis
GO:0051324,prophase
GO:0000279,M phase
GO:0098762,meiotic cell cycle phase
GO:0043480,pigment accumulation in tissues
GO:0043482,cellular pigment accumulation
GO:0043478,pigment accumulation in response to UV light
GO:0043482,cellular pigment accumulation
GO:0071695,anatomical structure maturation
GO:0048469,cell maturation
GO:0010152,pollen maturation
GO:0060560,developmental growth involved in morphogenesis
GO:0009887,animal organ morphogenesis
GO:0048532,anatomical structure arrangement
GO:0048729,tissue morphogenesis
GO:0048646,anatomical structure formation involved in morphogenesis
GO:0022603,regulation of anatomical structure morphogenesis
GO:0090698,post-embryonic plant morphogenesis
GO:0001763,morphogenesis of a branching structure
GO:0032989,cellular component morphogenesis
GO:0010016,shoot system morphogenesis
GO:0048598,embryonic morphogenesis
GO:0060033,anatomical structure regression
GO:0009886,post-embryonic animal morphogenesis
GO:1905392,plant organ morphogenesis
GO:0090626,plant epidermis morphogenesis
GO:0007164,establishment of tissue polarity
GO:0031129,inductive cell-cell signaling
GO:0090421,embryonic meristem initiation
GO:0010358,leaf shaping
GO:0009933,meristem structural organization
GO:0030435,sporulation resulting in formation of a cellular spore
GO:0034293,sexual sporulation
GO:0035070,salivary gland histolysis
GO:0048639,positive regulation of developmental growth
GO:0040019,positive regulation of embryonic development
GO:0045597,positive regulation of cell differentiation
GO:0048582,positive regulation of post-embryonic development
GO:1905623,positive regulation of leaf development
GO:0010227,floral organ abscission
GO:0030435,sporulation resulting in formation of a cellular spore
GO:0048656,anther wall tapetum formation
GO:0006949,syncytium formation
GO:0048645,animal organ formation
GO:0007349,cellularization
GO:0048859,formation of anatomical boundary
GO:0010618,aerenchyma formation
GO:1905393,plant organ formation
GO:0001704,formation of primary germ layer
GO:0010927,cellular component assembly involved in morphogenesis
GO:0019827,stem cell population maintenance
GO:0048468,cell development
GO:1903866,palisade mesophyll development
GO:0010254,nectary development
GO:0007275,multicellular organism development
GO:0048868,pollen tube development
GO:0010214,seed coat development
GO:0009888,tissue development
GO:0009653,anatomical structure morphogenesis
GO:0071695,anatomical structure maturation
GO:0080086,stamen filament development
GO:0048653,anther development
GO:1905328,plant septum development
GO:0010865,stipule development
GO:0048658,anther wall tapetum development
GO:0048438,floral whorl development
GO:0048829,root cap development
GO:0048608,reproductive structure development
GO:0048513,animal organ development
GO:0099402,plant organ development
GO:0048480,stigma development
GO:0048479,style development
GO:0010098,suspensor development
GO:0080166,stomium development
GO:0042335,cuticle development
GO:0048731,system development
GO:1990058,fruit replum development
GO:0010440,stomatal lineage progression
GO:0001709,cell fate determination
GO:0030154,cell differentiation
GO:0010623,programmed cell death involved in cell development
GO:0045165,cell fate commitment
GO:0007569,cell aging
GO:0001708,cell fate specification
GO:0048468,cell development
GO:0048469,cell maturation
GO:0048236,plant-type sporogenesis
GO:0032989,cellular component morphogenesis
GO:0009835,fruit ripening
GO:0090693,plant organ senescence
GO:0010260,animal organ senescence
GO:0007569,cell aging
GO:0097439,acquisition of desiccation tolerance
GO:0097437,maintenance of dormancy
GO:0010162,seed dormancy process
GO:0022603,regulation of anatomical structure morphogenesis
GO:0045682,regulation of epidermis development
GO:2000036,regulation of stem cell population maintenance
GO:2000026,regulation of multicellular organismal development
GO:0040034,"regulation of development, heterochronic"
GO:0051094,positive regulation of developmental process
GO:0045595,regulation of cell differentiation
GO:0048832,specification of plant organ number
GO:0048638,regulation of developmental growth
GO:0048509,regulation of meristem development
GO:0090342,regulation of cell aging
GO:0051093,negative regulation of developmental process
GO:0080186,developmental vegetative growth
GO:0048639,positive regulation of developmental growth
GO:0035266,meristem growth
GO:0048588,developmental cell growth
GO:0048640,negative regulation of developmental growth
GO:0035264,multicellular organism growth
GO:0060560,developmental growth involved in morphogenesis
GO:0035265,organ growth
GO:0080112,seed growth
GO:0048638,regulation of developmental growth
GO:0048439,flower morphogenesis
GO:0048656,anther wall tapetum formation
GO:0080060,integument development
GO:0010214,seed coat development
GO:0080126,ovary septum development
GO:0009860,pollen tube growth
GO:0048868,pollen tube development
GO:0007530,sex determination
GO:0048530,fruit morphogenesis
GO:0009942,longitudinal axis specification
GO:0010198,synergid death
GO:0010254,nectary development
GO:0007281,germ cell development
GO:0080112,seed growth
GO:0048658,anther wall tapetum development
GO:0010162,seed dormancy process
GO:0090377,seed trichome initiation
GO:0048657,anther wall tapetum cell differentiation
GO:0010480,microsporocyte differentiation
GO:0048515,spermatid differentiation
GO:0010093,specification of floral organ identity
GO:0009960,endosperm development
GO:0048317,seed morphogenesis
GO:0048481,plant ovule development
GO:0048437,floral organ development
GO:0048653,anther development
GO:0048449,floral organ formation
GO:0080086,stamen filament development
GO:0090378,seed trichome elongation
GO:0010654,apical cell fate commitment
GO:0090376,seed trichome differentiation
GO:0048281,inflorescence morphogenesis
GO:0010450,inflorescence meristem growth
GO:0048508,embryonic meristem development
GO:0010227,floral organ abscission
GO:0009835,fruit ripening
GO:0080187,floral organ senescence
GO:0080166,stomium development
GO:0048240,sperm capacitation
GO:0048479,style development
GO:0034293,sexual sporulation
GO:0048480,stigma development
GO:0048826,cotyledon morphogenesis
GO:0048655,anther wall tapetum morphogenesis
GO:0048444,floral organ morphogenesis
GO:0048608,reproductive structure development
GO:0010234,anther wall tapetum cell fate specification
GO:0010228,vegetative to reproductive phase transition of meristem
GO:0048438,floral whorl development
GO:0048235,pollen sperm cell differentiation
GO:1990058,fruit replum development
GO:0048700,acquisition of desiccation tolerance in seed
GO:0010431,seed maturation
GO:0010582,floral meristem determinacy
GO:0010451,floral meristem growth
GO:0048833,specification of floral organ number
GO:0009793,embryo development ending in seed dormancy
GO:0010071,root meristem specification
GO:1905622,negative regulation of leaf development
GO:0048581,negative regulation of post-embryonic development
GO:1902184,negative regulation of shoot apical meristem development
GO:0045992,negative regulation of embryonic development
GO:0045596,negative regulation of cell differentiation
GO:0048640,negative regulation of developmental growth
GO:1902455,negative regulation of stem cell population maintenance
GO:0008284,positive regulation of cell proliferation
GO:0008285,negative regulation of cell proliferation
GO:0031023,microtubule organizing center organization
GO:0006325,chromatin organization
GO:0051130,positive regulation of cellular component organization
GO:0022411,cellular component disassembly
GO:0006996,organelle organization
GO:0032535,regulation of cellular component size
GO:0034330,cell junction organization
GO:0030030,cell projection organization
GO:0043954,cellular component maintenance
GO:0051129,negative regulation of cellular component organization
GO:0045229,external encapsulating structure organization
GO:0061024,membrane organization
GO:0043933,protein-containing complex subunit organization
GO:0032989,cellular component morphogenesis
GO:0010256,endomembrane system organization
GO:0022607,cellular component assembly
GO:0097435,supramolecular fiber organization
GO:0043062,extracellular structure organization
GO:0051128,regulation of cellular component organization
GO:0044087,regulation of cellular component biogenesis
GO:0010344,seed oilbody biogenesis
GO:0022607,cellular component assembly
GO:0070589,cellular component macromolecule biosynthetic process
GO:0044089,positive regulation of cellular component biogenesis
GO:0017126,nucleologenesis
GO:0042546,cell wall biogenesis
GO:0022613,ribonucleoprotein complex biogenesis
GO:1901600,strigolactone metabolic process
GO:0032351,negative regulation of hormone metabolic process
GO:0009850,auxin metabolic process
GO:0042446,hormone biosynthetic process
GO:0042447,hormone catabolic process
GO:0009685,gibberellin metabolic process
GO:0034754,cellular hormone metabolic process
GO:0016131,brassinosteroid metabolic process
GO:0032350,regulation of hormone metabolic process
GO:0009692,ethylene metabolic process
GO:0009696,salicylic acid metabolic process
GO:0009694,jasmonic acid metabolic process
GO:0032352,positive regulation of hormone metabolic process
GO:1900673,olefin metabolic process
GO:0043170,macromolecule metabolic process
GO:0005975,carbohydrate metabolic process
GO:1901360,organic cyclic compound metabolic process
GO:1901575,organic substance catabolic process
GO:0043446,cellular alkane metabolic process
GO:0009812,flavonoid metabolic process
GO:0006081,cellular aldehyde metabolic process
GO:0042180,cellular ketone metabolic process
GO:0006629,lipid metabolic process
GO:1901135,carbohydrate derivative metabolic process
GO:0019695,choline metabolic process
GO:0030638,polyketide metabolic process
GO:0019499,cyanide metabolic process
GO:0035383,thioester metabolic process
GO:0046500,S-adenosylmethionine metabolic process
GO:0018904,ether metabolic process
GO:1901615,organic hydroxy compound metabolic process
GO:0015977,carbon fixation
GO:0006082,organic acid metabolic process
GO:1901576,organic substance biosynthetic process
GO:0019637,organophosphate metabolic process
GO:1901564,organonitrogen compound metabolic process
GO:1901568,fatty acid derivative metabolic process
GO:0031539,positive regulation of anthocyanin metabolic process
GO:0051173,positive regulation of nitrogen compound metabolic process
GO:0031325,positive regulation of cellular metabolic process
GO:0060267,positive regulation of respiratory burst
GO:0062013,positive regulation of small molecule metabolic process
GO:0051353,positive regulation of oxidoreductase activity
GO:0045834,positive regulation of lipid metabolic process
GO:0010604,positive regulation of macromolecule metabolic process
GO:0032352,positive regulation of hormone metabolic process
GO:0009896,positive regulation of catabolic process
GO:0009891,positive regulation of biosynthetic process
GO:0043414,macromolecule methylation
GO:0006482,protein demethylation
GO:0080111,DNA demethylation
GO:0030259,lipid glycosylation
GO:0043413,macromolecule glycosylation
GO:0097502,mannosylation
GO:0036065,fucosylation
GO:0051171,regulation of nitrogen compound metabolic process
GO:0051341,regulation of oxidoreductase activity
GO:0080090,regulation of primary metabolic process
GO:0009894,regulation of catabolic process
GO:0060255,regulation of macromolecule metabolic process
GO:0060263,regulation of respiratory burst
GO:1900908,regulation of olefin metabolic process
GO:0009889,regulation of biosynthetic process
GO:0062012,regulation of small molecule metabolic process
GO:0009893,positive regulation of metabolic process
GO:0043455,regulation of secondary metabolic process
GO:0032350,regulation of hormone metabolic process
GO:0009892,negative regulation of metabolic process
GO:0031323,regulation of cellular metabolic process
GO:0045833,negative regulation of lipid metabolic process
GO:0032351,negative regulation of hormone metabolic process
GO:0031324,negative regulation of cellular metabolic process
GO:0051354,negative regulation of oxidoreductase activity
GO:0062014,negative regulation of small molecule metabolic process
GO:0010605,negative regulation of macromolecule metabolic process
GO:0051172,negative regulation of nitrogen compound metabolic process
GO:0009890,negative regulation of biosynthetic process
GO:0045912,negative regulation of carbohydrate metabolic process
GO:1900909,negative regulation of olefin metabolic process
GO:0009895,negative regulation of catabolic process
GO:0031538,negative regulation of anthocyanin metabolic process
GO:0031323,regulation of cellular metabolic process
GO:0044249,cellular biosynthetic process
GO:0051186,cofactor metabolic process
GO:0006082,organic acid metabolic process
GO:0046483,heterocycle metabolic process
GO:0042133,neurotransmitter metabolic process
GO:0010191,mucilage metabolic process
GO:0006413,translational initiation
GO:0031324,negative regulation of cellular metabolic process
GO:0006730,one-carbon metabolic process
GO:0009850,auxin metabolic process
GO:0006793,phosphorus metabolic process
GO:0044248,cellular catabolic process
GO:0001887,selenium compound metabolic process
GO:0017144,drug metabolic process
GO:0043449,cellular alkene metabolic process
GO:0044255,cellular lipid metabolic process
GO:0034754,cellular hormone metabolic process
GO:0043094,cellular metabolic compound salvage
GO:0044260,cellular macromolecule metabolic process
GO:0044107,cellular alcohol metabolic process
GO:0042180,cellular ketone metabolic process
GO:0015979,photosynthesis
GO:0006790,sulfur compound metabolic process
GO:0044262,cellular carbohydrate metabolic process
GO:0043446,cellular alkane metabolic process
GO:0034641,cellular nitrogen compound metabolic process
GO:0006081,cellular aldehyde metabolic process
GO:0097354,prenylation
GO:0006091,generation of precursor metabolites and energy
GO:0009404,toxin metabolic process
GO:0006575,cellular modified amino acid metabolic process
GO:0031325,positive regulation of cellular metabolic process
GO:0006725,cellular aromatic compound metabolic process
GO:0072593,reactive oxygen species metabolic process
GO:0034641,cellular nitrogen compound metabolic process
GO:0097164,ammonium ion metabolic process
GO:2001057,reactive nitrogen species metabolic process
GO:0071941,nitrogen cycle metabolic process
GO:1901564,organonitrogen compound metabolic process
GO:0051173,positive regulation of nitrogen compound metabolic process
GO:0051171,regulation of nitrogen compound metabolic process
GO:0051172,negative regulation of nitrogen compound metabolic process
GO:0009891,positive regulation of biosynthetic process
GO:0009889,regulation of biosynthetic process
GO:1901576,organic substance biosynthetic process
GO:1903409,reactive oxygen species biosynthetic process
GO:0044249,cellular biosynthetic process
GO:0006723,cuticle hydrocarbon biosynthetic process
GO:0042446,hormone biosynthetic process
GO:0044550,secondary metabolite biosynthetic process
GO:0009890,negative regulation of biosynthetic process
GO:0008612,peptidyl-lysine modification to peptidyl-hypusine
GO:0044283,small molecule biosynthetic process
GO:0018158,protein oxidation
GO:0006069,ethanol oxidation
GO:0022900,electron transport chain
GO:0006116,NADH oxidation
GO:0019419,sulfate reduction
GO:0042964,thioredoxin reduction
GO:0010241,ent-kaurene oxidation to kaurenoic acid
GO:0006740,NADPH regeneration
GO:0034440,lipid oxidation
GO:0015980,energy derivation by oxidation of organic compounds
GO:0006788,heme oxidation
GO:0019418,sulfide oxidation
GO:0044282,small molecule catabolic process
GO:0009894,regulation of catabolic process
GO:1901575,organic substance catabolic process
GO:0009895,negative regulation of catabolic process
GO:0044248,cellular catabolic process
GO:0042447,hormone catabolic process
GO:0009896,positive regulation of catabolic process
GO:0042168,heme metabolic process
GO:0051552,flavone metabolic process
GO:0046148,pigment biosynthetic process
GO:0046149,pigment catabolic process
GO:0046283,anthocyanin-containing compound metabolic process
GO:0006066,alcohol metabolic process
GO:0046292,formaldehyde metabolic process
GO:0005996,monosaccharide metabolic process
GO:0006082,organic acid metabolic process
GO:0055086,nucleobase-containing small molecule metabolic process
GO:0062012,regulation of small molecule metabolic process
GO:0044282,small molecule catabolic process
GO:0042180,cellular ketone metabolic process
GO:0062013,positive regulation of small molecule metabolic process
GO:0006766,vitamin metabolic process
GO:0006730,one-carbon metabolic process
GO:0062014,negative regulation of small molecule metabolic process
GO:0019627,urea metabolic process
GO:0018904,ether metabolic process
GO:0044283,small molecule biosynthetic process
GO:0060263,regulation of respiratory burst
GO:0002679,respiratory burst involved in defense response
GO:0060267,positive regulation of respiratory burst
GO:0005975,carbohydrate metabolic process
GO:0080090,regulation of primary metabolic process
GO:0006520,cellular amino acid metabolic process
GO:0006099,tricarboxylic acid cycle
GO:0006629,lipid metabolic process
GO:0006139,nucleobase-containing compound metabolic process
GO:0019538,protein metabolic process
GO:0046937,phytochelatin metabolic process
GO:0019757,glycosinolate metabolic process
GO:0009404,toxin metabolic process
GO:0042341,cyanogenic glycoside metabolic process
GO:0030638,polyketide metabolic process
GO:0044550,secondary metabolite biosynthetic process
GO:0009698,phenylpropanoid metabolic process
GO:0043455,regulation of secondary metabolic process
GO:0006935,chemotaxis
GO:2000145,regulation of cell motility
GO:0052126,movement in host environment
GO:0051814,movement in other organism involved in symbiotic interaction
GO:0016477,cell migration
GO:2000145,regulation of cell motility
GO:0048582,positive regulation of post-embryonic development
GO:0045597,positive regulation of cell differentiation
GO:1905623,positive regulation of leaf development
GO:0048639,positive regulation of developmental growth
GO:0040019,positive regulation of embryonic development
GO:0051222,positive regulation of protein transport
GO:0032388,positive regulation of intracellular transport
GO:0032411,positive regulation of transporter activity
GO:0034764,positive regulation of transmembrane transport
GO:1902009,positive regulation of toxin transport
GO:0051222,positive regulation of protein transport
GO:0043270,positive regulation of ion transport
GO:1900036,positive regulation of cellular response to heat
GO:0045597,positive regulation of cell differentiation
GO:0010942,positive regulation of cell death
GO:0051781,positive regulation of cell division
GO:0060148,positive regulation of posttranscriptional gene silencing
GO:2000685,positive regulation of cellular response to X-ray
GO:1903340,positive regulation of cell wall organization or biogenesis
GO:0051130,positive regulation of cellular component organization
GO:1900409,positive regulation of cellular response to oxidative stress
GO:1905959,positive regulation of cellular response to alcohol
GO:0031325,positive regulation of cellular metabolic process
GO:0051984,positive regulation of chromosome segregation
GO:0008284,positive regulation of cell proliferation
GO:2000470,positive regulation of peroxidase activity
GO:0045787,positive regulation of cell cycle
GO:0030307,positive regulation of cell growth
GO:0010647,positive regulation of cell communication
GO:2001022,positive regulation of response to DNA damage stimulus
GO:0050778,positive regulation of immune response
GO:0031325,positive regulation of cellular metabolic process
GO:0051173,positive regulation of nitrogen compound metabolic process
GO:0031539,positive regulation of anthocyanin metabolic process
GO:0009891,positive regulation of biosynthetic process
GO:0009896,positive regulation of catabolic process
GO:0032352,positive regulation of hormone metabolic process
GO:0010604,positive regulation of macromolecule metabolic process
GO:0045834,positive regulation of lipid metabolic process
GO:0051353,positive regulation of oxidoreductase activity
GO:0062013,positive regulation of small molecule metabolic process
GO:0060267,positive regulation of respiratory burst
GO:0048639,positive regulation of developmental growth
GO:0030307,positive regulation of cell growth
GO:0040010,positive regulation of growth rate
GO:0031334,positive regulation of protein complex assembly
GO:1902117,positive regulation of organelle assembly
GO:0090070,positive regulation of ribosome biogenesis
GO:1901348,positive regulation of secondary cell wall biogenesis
GO:0048524,positive regulation of viral process
GO:0051819,"induction by symbiont of nodulation, tumor or growth in host"
GO:1900426,positive regulation of defense response to bacterium
GO:1901672,positive regulation of systemic acquired resistance
GO:1900367,positive regulation of defense response to insect
GO:0090316,positive regulation of intracellular protein transport
GO:1905623,positive regulation of leaf development
GO:0048582,positive regulation of post-embryonic development
GO:0040019,positive regulation of embryonic development
GO:0051446,positive regulation of meiotic cell cycle
GO:0009911,positive regulation of flower development
GO:0048578,"positive regulation of long-day photoperiodism, flowering"
GO:2000693,positive regulation of seed maturation
GO:0009967,positive regulation of signal transduction
GO:0048578,"positive regulation of long-day photoperiodism, flowering"
GO:0032103,positive regulation of response to external stimulus
GO:0010220,positive regulation of vernalization response
GO:2001022,positive regulation of response to DNA damage stimulus
GO:0002833,positive regulation of response to biotic stimulus
GO:0009967,positive regulation of signal transduction
GO:2000306,positive regulation of photomorphogenesis
GO:2000470,positive regulation of peroxidase activity
GO:1901002,positive regulation of response to salt stress
GO:0050778,positive regulation of immune response
GO:1902584,positive regulation of response to water deprivation
GO:1902884,positive regulation of response to oxidative stress
GO:1901421,positive regulation of response to alcohol
GO:0031349,positive regulation of defense response
GO:1900036,positive regulation of cellular response to heat
GO:2000685,positive regulation of cellular response to X-ray
GO:0002698,negative regulation of immune effector process
GO:0051607,defense response to virus
GO:0009864,"induced systemic resistance, jasmonic acid mediated signaling pathway"
GO:0002679,respiratory burst involved in defense response
GO:0002697,regulation of immune effector process
GO:0050778,positive regulation of immune response
GO:0050776,regulation of immune response
GO:0050777,negative regulation of immune response
GO:0045087,innate immune response
GO:0050778,positive regulation of immune response
GO:0002757,immune response-activating signal transduction
GO:0002218,activation of innate immune response
GO:0050777,negative regulation of immune response
GO:0002698,negative regulation of immune effector process
GO:0002683,negative regulation of immune system process
GO:0002697,regulation of immune effector process
GO:0002684,positive regulation of immune system process
GO:0050776,regulation of immune response
GO:0009966,regulation of signal transduction
GO:0023056,positive regulation of signaling
GO:0001881,receptor recycling
GO:0023057,negative regulation of signaling
GO:2000243,positive regulation of reproductive process
GO:2000028,"regulation of photoperiodism, flowering"
GO:0009909,regulation of flower development
GO:0051445,regulation of meiotic cell cycle
GO:2000242,negative regulation of reproductive process
GO:0080050,regulation of seed development
GO:0010081,regulation of inflorescence meristem growth
GO:0080154,regulation of fertilization
GO:0080092,regulation of pollen tube growth
GO:2000036,regulation of stem cell population maintenance
GO:0051241,negative regulation of multicellular organismal process
GO:0051240,positive regulation of multicellular organismal process
GO:2000026,regulation of multicellular organismal development
GO:0060688,regulation of morphogenesis of a branching structure
GO:0040014,regulation of multicellular organism growth
GO:0080092,regulation of pollen tube growth
GO:0046620,regulation of organ growth
GO:0002697,regulation of immune effector process
GO:0002683,negative regulation of immune system process
GO:0002684,positive regulation of immune system process
GO:0050776,regulation of immune response
GO:1902115,regulation of organelle assembly
GO:0043254,regulation of protein complex assembly
GO:2001009,regulation of plant-type cell wall cellulose biosynthetic process
GO:1901891,regulation of cell septum assembly
GO:0090153,regulation of sphingolipid biosynthetic process
GO:0090069,regulation of ribosome biogenesis
GO:0060491,regulation of cell projection assembly
GO:2000652,regulation of secondary cell wall biogenesis
GO:0044089,positive regulation of cellular component biogenesis
GO:0051983,regulation of chromosome segregation
GO:0042127,regulation of cell proliferation
GO:2000468,regulation of peroxidase activity
GO:0051270,regulation of cellular component movement
GO:1903338,regulation of cell wall organization or biogenesis
GO:0060968,regulation of gene silencing
GO:0010646,regulation of cell communication
GO:0010119,regulation of stomatal movement
GO:0045454,cell redox homeostasis
GO:0051726,regulation of cell cycle
GO:0090342,regulation of cell aging
GO:0051302,regulation of cell division
GO:2000683,regulation of cellular response to X-ray
GO:0007165,signal transduction
GO:0048522,positive regulation of cellular process
GO:0031323,regulation of cellular metabolic process
GO:0060627,regulation of vesicle-mediated transport
GO:0061088,regulation of sequestering of zinc ion
GO:1903530,regulation of secretion by cell
GO:0032970,regulation of actin filament-based process
GO:0010941,regulation of cell death
GO:0051128,regulation of cellular component organization
GO:0048523,negative regulation of cellular process
GO:0032886,regulation of microtubule-based process
GO:1905957,regulation of cellular response to alcohol
GO:0080135,regulation of cellular response to stress
GO:2001038,regulation of cellular response to drug
GO:0045595,regulation of cell differentiation
GO:2000145,regulation of cell motility
GO:2000026,regulation of multicellular organismal development
GO:0051094,positive regulation of developmental process
GO:0040034,"regulation of development, heterochronic"
GO:0045595,regulation of cell differentiation
GO:0022603,regulation of anatomical structure morphogenesis
GO:0045682,regulation of epidermis development
GO:2000036,regulation of stem cell population maintenance
GO:0048509,regulation of meristem development
GO:0090342,regulation of cell aging
GO:0051093,negative regulation of developmental process
GO:0048638,regulation of developmental growth
GO:0048832,specification of plant organ number
GO:1902288,regulation of defense response to oomycetes
GO:2000068,regulation of defense response to insect
GO:0043901,negative regulation of multi-organism process
GO:0043902,positive regulation of multi-organism process
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism"
GO:1900150,regulation of defense response to fungus
GO:1900424,regulation of defense response to bacterium
GO:0080092,regulation of pollen tube growth
GO:0050688,regulation of defense response to virus
GO:0010112,regulation of systemic acquired resistance
GO:0080154,regulation of fertilization
GO:0042753,positive regulation of circadian rhythm
GO:0010378,temperature compensation of the circadian clock
GO:0009649,entrainment of circadian clock
GO:0032880,regulation of protein localization
GO:0060341,regulation of cellular localization
GO:0051270,regulation of cellular component movement
GO:0051049,regulation of transport
GO:0061088,regulation of sequestering of zinc ion
GO:0051094,positive regulation of developmental process
GO:1904951,positive regulation of establishment of protein localization
GO:0051050,positive regulation of transport
GO:0042753,positive regulation of circadian rhythm
GO:0002684,positive regulation of immune system process
GO:0048522,positive regulation of cellular process
GO:0009893,positive regulation of metabolic process
GO:0043902,positive regulation of multi-organism process
GO:0044089,positive regulation of cellular component biogenesis
GO:0045927,positive regulation of growth
GO:2000243,positive regulation of reproductive process
GO:0051240,positive regulation of multicellular organismal process
GO:1903829,positive regulation of cellular protein localization
GO:0048584,positive regulation of response to stimulus
GO:0023056,positive regulation of signaling
GO:2001023,regulation of response to drug
GO:2000683,regulation of cellular response to X-ray
GO:0050776,regulation of immune response
GO:0080134,regulation of response to stress
GO:2000028,"regulation of photoperiodism, flowering"
GO:2000468,regulation of peroxidase activity
GO:0002831,regulation of response to biotic stimulus
GO:0009966,regulation of signal transduction
GO:2000030,regulation of response to red or far red light
GO:0048584,positive regulation of response to stimulus
GO:0048585,negative regulation of response to stimulus
GO:0032101,regulation of response to external stimulus
GO:1901419,regulation of response to alcohol
GO:0045926,negative regulation of growth
GO:0001558,regulation of cell growth
GO:0040009,regulation of growth rate
GO:0048638,regulation of developmental growth
GO:0045927,positive regulation of growth
GO:0060255,regulation of macromolecule metabolic process
GO:0009894,regulation of catabolic process
GO:0060263,regulation of respiratory burst
GO:1900908,regulation of olefin metabolic process
GO:0051341,regulation of oxidoreductase activity
GO:0080090,regulation of primary metabolic process
GO:0051171,regulation of nitrogen compound metabolic process
GO:0009892,negative regulation of metabolic process
GO:0031323,regulation of cellular metabolic process
GO:0043455,regulation of secondary metabolic process
GO:0032350,regulation of hormone metabolic process
GO:0009893,positive regulation of metabolic process
GO:0009889,regulation of biosynthetic process
GO:0062012,regulation of small molecule metabolic process
GO:2000242,negative regulation of reproductive process
GO:0048523,negative regulation of cellular process
GO:0051093,negative regulation of developmental process
GO:0048585,negative regulation of response to stimulus
GO:0051051,negative regulation of transport
GO:0009892,negative regulation of metabolic process
GO:0045926,negative regulation of growth
GO:0002683,negative regulation of immune system process
GO:0043433,negative regulation of DNA-binding transcription factor activity
GO:0043901,negative regulation of multi-organism process
GO:0023057,negative regulation of signaling
GO:0051241,negative regulation of multicellular organismal process
GO:0048577,"negative regulation of short-day photoperiodism, flowering"
GO:0009910,negative regulation of flower development
GO:1904095,negative regulation of endosperm development
GO:2000692,negative regulation of seed maturation
GO:0051447,negative regulation of meiotic cell cycle
GO:0048579,"negative regulation of long-day photoperiodism, flowering"
GO:0051985,negative regulation of chromosome segregation
GO:0010648,negative regulation of cell communication
GO:1903339,negative regulation of cell wall organization or biogenesis
GO:1903573,negative regulation of response to endoplasmic reticulum stress
GO:0045596,negative regulation of cell differentiation
GO:0030308,negative regulation of cell growth
GO:0090071,negative regulation of ribosome biogenesis
GO:0051129,negative regulation of cellular component organization
GO:0031324,negative regulation of cellular metabolic process
GO:0060969,negative regulation of gene silencing
GO:0008285,negative regulation of cell proliferation
GO:1905958,negative regulation of cellular response to alcohol
GO:0051782,negative regulation of cell division
GO:0060548,negative regulation of cell death
GO:0045786,negative regulation of cell cycle
GO:2001021,negative regulation of response to DNA damage stimulus
GO:2000469,negative regulation of peroxidase activity
GO:1905622,negative regulation of leaf development
GO:1902184,negative regulation of shoot apical meristem development
GO:0048581,negative regulation of post-embryonic development
GO:1902455,negative regulation of stem cell population maintenance
GO:0048640,negative regulation of developmental growth
GO:0045596,negative regulation of cell differentiation
GO:0045992,negative regulation of embryonic development
GO:0002698,negative regulation of immune effector process
GO:0050777,negative regulation of immune response
GO:0030308,negative regulation of cell growth
GO:0048640,negative regulation of developmental growth
GO:1902455,negative regulation of stem cell population maintenance
GO:0046621,negative regulation of organ growth
GO:0048581,negative regulation of post-embryonic development
GO:0045992,negative regulation of embryonic development
GO:1905622,negative regulation of leaf development
GO:0043271,negative regulation of ion transport
GO:0034763,negative regulation of transmembrane transport
GO:0032410,negative regulation of transporter activity
GO:0051354,negative regulation of oxidoreductase activity
GO:0032351,negative regulation of hormone metabolic process
GO:0031324,negative regulation of cellular metabolic process
GO:0045833,negative regulation of lipid metabolic process
GO:0009890,negative regulation of biosynthetic process
GO:0051172,negative regulation of nitrogen compound metabolic process
